Title,Rating,Image_URL
Indiana Jones and the Dial of Destiny,6.9,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
The Witcher,8.1,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Secret Invasion,6.9,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
The Flash,7.1,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Spider-Man: Across the Spider-Verse,8.9,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Extraction 2,7.1,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Star Trek: Strange New Worlds,8.2,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Jack Ryan,8.0,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Avatar: The Way of Water,7.6,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Game of Thrones,9.2,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Transformers: Rise of the Beasts,6.5,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Extraction,6.8,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
John Wick: Chapter 4,7.9,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Guy Ritchie's The Covenant,7.5,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Raiders of the Lost Ark,8.4,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Titans,7.5,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Mission: Impossible - Dead Reckoning Part One,8.3,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
The Boys,8.7,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Fast X,5.9,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Sound of Freedom,8.6,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
The Rookie,6.9,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Guardians of the Galaxy Vol. 3,8.2,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Dungeons & Dragons: Honor Among Thieves,7.3,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
FUBAR,6.5,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Spider-Man: Into the Spider-Verse,8.4,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Indiana Jones and the Last Crusade,8.2,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Warrior,8.1,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Indiana Jones and the Kingdom of the Crystal Skull,6.2,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Barry,8.4,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Indiana Jones and the Temple of Doom,7.5,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
The Last of Us,9.7,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Superman & Lois,7.8,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Kandahar,6.0,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
